"site","date","year","pre_post","site_old","treatment","utm_easting","utm_northing","densiometer_avg","dist_avg","dbh_avg","disked","canopy_cover"
"HH-02-U",2021-05-14,"2021","pre","UP02A","upland",608047.4,3659550,NA,8.125,42,0,NA
"HH-02-U",2021-05-17,"2021","pre","UP02A","upland",608047.4,3659550,NA,8.125,42,0,NA
"HH-02-U",2021-05-24,"2021","pre","UP02A","upland",608047.4,3659550,NA,8.125,42,0,NA
"HH-02-U",2022-05-18,"2022","pre","UP02A","upland",608047.4,3659550,NA,8.125,42,0,NA
"HH-02-U",2022-05-30,"2022","pre","UP02A","upland",608047.4,3659550,NA,8.125,42,0,NA
"HH-02-U",2022-06-14,"2022","pre","UP02A","upland",608047.4,3659550,NA,8.125,42,0,NA
"HH-02-U",2023-05-16,"2023","pre","UP02A","upland",608047.4,3659550,NA,8.125,42,0,NA
"HH-02-U",2023-05-20,"2023","pre","UP02A","upland",608047.4,3659550,NA,8.125,42,0,NA
"HH-02-U",2023-05-24,"2023","pre","UP02A","upland",608047.4,3659550,NA,8.125,42,0,NA
"HH-02-U",2023-06-01,"2023","pre","UP02A","upland",608047.4,3659550,NA,8.125,42,0,NA
"HH-02-U",2023-06-06,"2023","pre","UP02A","upland",608047.4,3659550,NA,8.125,42,0,NA
"HH-02-U",2023-06-09,"2023","pre","UP02A","upland",608047.4,3659550,NA,8.125,42,0,NA
"HH-02-U",2024-05-23,"2024","post","UP02A","upland",608047.4,3659550,10.56,4.55,9.8,0,10.56
"HH-02-U",2024-06-03,"2024","post","UP02A","upland",608047.4,3659550,10.56,4.55,9.8,0,10.56
"HH-02-U",2024-06-13,"2024","post","UP02A","upland",608047.4,3659550,10.56,4.55,9.8,0,10.56
"HH-02-W",2021-05-14,"2021","pre","HH02","cut-remove",607877.89,3659680.84,NA,2.3125,28.375,0,76.7782160580227
"HH-02-W",2021-05-17,"2021","pre","HH02","cut-remove",607877.89,3659680.84,NA,2.3125,28.375,0,76.7782160580227
"HH-02-W",2021-05-24,"2021","pre","HH02","cut-remove",607877.89,3659680.84,NA,2.3125,28.375,0,76.7782160580227
"HH-02-W",2022-05-17,"2022","pre","HH02","cut-remove",607877.89,3659680.84,NA,2.3125,28.375,0,76.7782160580227
"HH-02-W",2022-06-07,"2022","pre","HH02","cut-remove",607877.89,3659680.84,NA,2.3125,28.375,0,76.7782160580227
"HH-02-W",2022-06-14,"2022","pre","HH02","cut-remove",607877.89,3659680.84,NA,2.3125,28.375,0,76.7782160580227
"HH-02-W",2023-05-16,"2023","pre","HH02","cut-remove",607877.89,3659680.84,NA,2.3125,28.375,0,76.7782160580227
"HH-02-W",2023-05-25,"2023","pre","HH02","cut-remove",607877.89,3659680.84,NA,2.3125,28.375,0,76.7782160580227
"HH-02-W",2023-06-09,"2023","pre","HH02","cut-remove",607877.89,3659680.84,NA,2.3125,28.375,0,76.7782160580227
"HH-02-W",2024-05-22,"2024","post","HH02","cut-remove",607877.89,3659680.84,55.28,4.25,8.925,0,55.28
"HH-02-W",2024-05-29,"2024","post","HH02","cut-remove",607877.89,3659680.84,55.28,4.25,8.925,0,55.28
"HH-02-W",2024-06-11,"2024","post","HH02","cut-remove",607877.89,3659680.84,55.28,4.25,8.925,0,55.28
"HH-04-U",2021-05-14,"2021","pre","UP04","upland",608591.6,3659587,NA,6.6375,11.825,0,5.09582364019054
"HH-04-U",2021-05-17,"2021","pre","UP04","upland",608591.6,3659587,NA,6.6375,11.825,0,5.09582364019054
"HH-04-U",2021-05-24,"2021","pre","UP04","upland",608591.6,3659587,NA,6.6375,11.825,0,5.09582364019054
"HH-04-U",2022-05-17,"2022","pre","UP04","upland",608591.6,3659587,NA,6.6375,11.825,0,5.09582364019054
"HH-04-U",2022-05-26,"2022","pre","UP04","upland",608591.6,3659587,NA,6.6375,11.825,0,5.09582364019054
"HH-04-U",2022-06-14,"2022","pre","UP04","upland",608591.6,3659587,NA,6.6375,11.825,0,5.09582364019054
"HH-04-U",2023-05-16,"2023","pre","UP04","upland",608591.6,3659587,NA,6.6375,11.825,0,5.09582364019054
"HH-04-U",2023-05-25,"2023","pre","UP04","upland",608591.6,3659587,NA,6.6375,11.825,0,5.09582364019054
"HH-04-U",2023-06-09,"2023","pre","UP04","upland",608591.6,3659587,NA,6.6375,11.825,0,5.09582364019054
"HH-04-U",2024-05-22,"2024","post","UP04","upland",608591.6,3659587,15.76,4.05,5.85,0,15.76
"HH-04-U",2024-05-29,"2024","post","UP04","upland",608591.6,3659587,15.76,4.05,5.85,0,15.76
"HH-04-U",2024-06-11,"2024","post","UP04","upland",608591.6,3659587,15.76,4.05,5.85,0,15.76
"HH-04-W",2021-05-14,"2021","pre","HH04","hack-squirt",608471.13,3659729.52,NA,2.425,26.5,0,71.0853454458523
"HH-04-W",2021-05-17,"2021","pre","HH04","hack-squirt",608471.13,3659729.52,NA,2.425,26.5,0,71.0853454458523
"HH-04-W",2021-05-24,"2021","pre","HH04","hack-squirt",608471.13,3659729.52,NA,2.425,26.5,0,71.0853454458523
"HH-04-W",2022-05-17,"2022","pre","HH04","hack-squirt",608471.13,3659729.52,NA,2.425,26.5,0,71.0853454458523
"HH-04-W",2022-05-26,"2022","pre","HH04","hack-squirt",608471.13,3659729.52,NA,2.425,26.5,0,71.0853454458523
"HH-04-W",2022-06-14,"2022","pre","HH04","hack-squirt",608471.13,3659729.52,NA,2.425,26.5,0,71.0853454458523
"HH-04-W",2023-05-16,"2023","pre","HH04","hack-squirt",608471.13,3659729.52,NA,2.425,26.5,0,71.0853454458523
"HH-04-W",2023-05-25,"2023","pre","HH04","hack-squirt",608471.13,3659729.52,NA,2.425,26.5,0,71.0853454458523
"HH-04-W",2023-06-09,"2023","pre","HH04","hack-squirt",608471.13,3659729.52,NA,2.425,26.5,0,71.0853454458523
"HH-04-W",2024-05-22,"2024","post","HH04","hack-squirt",608471.13,3659729.52,100,4.2,9.05,0,100
"HH-04-W",2024-05-30,"2024","post","HH04","hack-squirt",608471.13,3659729.52,100,4.2,9.05,0,100
"HH-04-W",2024-06-12,"2024","post","HH04","hack-squirt",608471.13,3659729.52,100,4.2,9.05,0,100
"HH-07-U",2023-05-20,"2023","pre","UP07A","upland",609424.8,3659288,NA,NA,NA,0,NA
"HH-07-U",2023-05-25,"2023","pre","UP07A","upland",609424.8,3659288,NA,NA,NA,0,NA
"HH-07-U",2023-06-09,"2023","pre","UP07A","upland",609424.8,3659288,NA,NA,NA,0,NA
"HH-07-U",2024-05-23,"2024","post","UP07A","upland",609424.8,3659288,87.52,2.125,3.775,0,87.52
"HH-07-U",2024-05-27,"2024","post","UP07A","upland",609424.8,3659288,87.52,2.125,3.775,0,87.52
"HH-07-U",2024-06-04,"2024","post","UP07A","upland",609424.8,3659288,87.52,2.125,3.775,0,87.52
"HH-07-W",2021-05-14,"2021","pre","HH07","cut-leave",609592.11,3659169.83,NA,2.3125,21.825,0,92.0552458185504
"HH-07-W",2021-05-17,"2021","pre","HH07","cut-leave",609592.11,3659169.83,NA,2.3125,21.825,0,92.0552458185504
"HH-07-W",2021-05-24,"2021","pre","HH07","cut-leave",609592.11,3659169.83,NA,2.3125,21.825,0,92.0552458185504
"HH-07-W",2022-05-17,"2022","pre","HH07","cut-leave",609592.11,3659169.83,NA,2.3125,21.825,0,92.0552458185504
"HH-07-W",2022-05-26,"2022","pre","HH07","cut-leave",609592.11,3659169.83,NA,2.3125,21.825,0,92.0552458185504
"HH-07-W",2022-06-14,"2022","pre","HH07","cut-leave",609592.11,3659169.83,NA,2.3125,21.825,0,92.0552458185504
"HH-07-W",2023-05-16,"2023","pre","HH07","cut-leave",609592.11,3659169.83,NA,2.3125,21.825,0,92.0552458185504
"HH-07-W",2023-05-25,"2023","pre","HH07","cut-leave",609592.11,3659169.83,NA,2.3125,21.825,0,92.0552458185504
"HH-07-W",2023-06-06,"2023","pre","HH07","cut-leave",609592.11,3659169.83,NA,2.3125,21.825,0,92.0552458185504
"HH-07-W",2024-05-23,"2024","post","HH07","cut-leave",609592.11,3659169.83,5.36,6.95,19.325,0,5.36
"HH-07-W",2024-06-03,"2024","post","HH07","cut-leave",609592.11,3659169.83,5.36,6.95,19.325,0,5.36
"HH-07-W",2024-06-13,"2024","post","HH07","cut-leave",609592.11,3659169.83,5.36,6.95,19.325,0,5.36
"HH-13-U",2023-05-20,"2023","pre","UP13A","upland",609671.9,3658059,NA,NA,NA,0,NA
"HH-13-U",2023-06-06,"2023","pre","UP13A","upland",609671.9,3658059,NA,NA,NA,0,NA
"HH-13-U",2023-06-13,"2023","pre","UP13A","upland",609671.9,3658059,NA,NA,NA,0,NA
"HH-13-U",2024-05-21,"2024","post","UP13A","upland",609671.9,3658059,16.8,8.525,12.625,1,16.8
"HH-13-U",2024-05-28,"2024","post","UP13A","upland",609671.9,3658059,16.8,8.525,12.625,1,16.8
"HH-13-U",2024-06-05,"2024","post","UP13A","upland",609671.9,3658059,16.8,8.525,12.625,1,16.8
"HH-13-W",2021-05-15,"2021","pre","HH13","cut-leave",609560.69,3657970.81,NA,3.3,22.8,0,70.1983365323097
"HH-13-W",2021-05-19,"2021","pre","HH13","cut-leave",609560.69,3657970.81,NA,3.3,22.8,0,70.1983365323097
"HH-13-W",2021-05-26,"2021","pre","HH13","cut-leave",609560.69,3657970.81,NA,3.3,22.8,0,70.1983365323097
"HH-13-W",2022-05-18,"2022","pre","HH13","cut-leave",609560.69,3657970.81,NA,3.3,22.8,0,70.1983365323097
"HH-13-W",2022-05-30,"2022","pre","HH13","cut-leave",609560.69,3657970.81,NA,3.3,22.8,0,70.1983365323097
"HH-13-W",2022-06-13,"2022","pre","HH13","cut-leave",609560.69,3657970.81,NA,3.3,22.8,0,70.1983365323097
"HH-13-W",2023-05-20,"2023","pre","HH13","cut-leave",609560.69,3657970.81,NA,3.3,22.8,0,70.1983365323097
"HH-13-W",2023-05-30,"2023","pre","HH13","cut-leave",609560.69,3657970.81,NA,3.3,22.8,0,70.1983365323097
"HH-13-W",2023-06-05,"2023","pre","HH13","cut-leave",609560.69,3657970.81,NA,3.3,22.8,0,70.1983365323097
"HH-13-W",2024-05-20,"2024","post","HH13","cut-leave",609560.69,3657970.81,9.52,9.75,11.675,1,9.52
"HH-13-W",2024-06-03,"2024","post","HH13","cut-leave",609560.69,3657970.81,9.52,9.75,11.675,1,9.52
"HH-13-W",2024-06-13,"2024","post","HH13","cut-leave",609560.69,3657970.81,9.52,9.75,11.675,1,9.52
"HH-14-U",2024-05-22,"2024","post","UP02A","upland",609978.7,3658463,18.88,9.475,12.275,1,18.88
"HH-14-U",2024-05-27,"2024","post","UP02A","upland",609978.7,3658463,18.88,9.475,12.275,1,18.88
"HH-14-U",2024-06-04,"2024","post","UP02A","upland",609978.7,3658463,18.88,9.475,12.275,1,18.88
"HH-14-W",2021-05-12,"2021","pre","HH14","cut-remove",609835.04,3658404.12,NA,3.65,24.825,0,60.8128449573507
"HH-14-W",2021-05-17,"2021","pre","HH14","cut-remove",609835.04,3658404.12,NA,3.65,24.825,0,60.8128449573507
"HH-14-W",2021-05-24,"2021","pre","HH14","cut-remove",609835.04,3658404.12,NA,3.65,24.825,0,60.8128449573507
"HH-14-W",2022-05-18,"2022","pre","HH14","cut-remove",609835.04,3658404.12,NA,3.65,24.825,0,60.8128449573507
"HH-14-W",2022-05-30,"2022","pre","HH14","cut-remove",609835.04,3658404.12,NA,3.65,24.825,0,60.8128449573507
"HH-14-W",2022-06-14,"2022","pre","HH14","cut-remove",609835.04,3658404.12,NA,3.65,24.825,0,60.8128449573507
"HH-14-W",2023-05-20,"2023","pre","HH14","cut-remove",609835.04,3658404.12,NA,3.65,24.825,0,60.8128449573507
"HH-14-W",2023-05-24,"2023","pre","HH14","cut-remove",609835.04,3658404.12,NA,3.65,24.825,0,60.8128449573507
"HH-14-W",2023-06-06,"2023","pre","HH14","cut-remove",609835.04,3658404.12,NA,3.65,24.825,0,60.8128449573507
"HH-14-W",2024-05-23,"2024","post","HH14","cut-remove",609835.04,3658404.12,6.39999999999999,12.25,15.675,1,6.39999999999999
"HH-14-W",2024-05-28,"2024","post","HH14","cut-remove",609835.04,3658404.12,6.39999999999999,12.25,15.675,1,6.39999999999999
"HH-14-W",2024-06-05,"2024","post","HH14","cut-remove",609835.04,3658404.12,6.39999999999999,12.25,15.675,1,6.39999999999999
"HH-15-U",2024-05-27,"2024","post","UP15","upland",622632.6,3658767,22,10.675,13.1,1,22
"HH-15-U",2024-05-30,"2024","post","UP15","upland",622632.6,3658767,22,10.675,13.1,1,22
"HH-15-U",2024-06-12,"2024","post","UP15","upland",622632.6,3658767,22,10.675,13.1,1,22
"HH-15-W",2024-05-20,"2024","post","HH15","control-closed",610054.4,3658649,83.36,4.15,14.15,1,83.36
"HH-15-W",2024-05-28,"2024","post","HH15","control-closed",610054.4,3658649,83.36,4.15,14.15,1,83.36
"HH-15-W",2024-06-05,"2024","post","HH15","control-closed",610054.4,3658649,83.36,4.15,14.15,1,83.36
"HH-17-U",2023-05-24,"2023","pre","UP17A","upland",610110.7,3658249,NA,NA,NA,0,NA
"HH-17-U",2023-06-07,"2023","pre","UP17A","upland",610110.7,3658249,NA,NA,NA,0,NA
"HH-17-U",2023-06-13,"2023","pre","UP17A","upland",610110.7,3658249,NA,NA,NA,0,NA
"HH-17-U",2024-05-20,"2024","post","UP17A","upland",610110.7,3658249,16.8,8.475,16.5,1,16.8
"HH-17-U",2024-05-30,"2024","post","UP17A","upland",610110.7,3658249,16.8,8.475,16.5,1,16.8
"HH-17-U",2024-06-11,"2024","post","UP17A","upland",610110.7,3658249,16.8,8.475,16.5,1,16.8
"HH-17-W",2021-05-14,"2021","pre","HH17","cut-leave",610154.72,3658456.49,NA,2.075,20.075,0,89.8148148148148
"HH-17-W",2021-05-17,"2021","pre","HH17","cut-leave",610154.72,3658456.49,NA,2.075,20.075,0,89.8148148148148
"HH-17-W",2021-05-24,"2021","pre","HH17","cut-leave",610154.72,3658456.49,NA,2.075,20.075,0,89.8148148148148
"HH-17-W",2022-05-17,"2022","pre","HH17","cut-leave",610154.72,3658456.49,NA,2.075,20.075,0,89.8148148148148
"HH-17-W",2022-05-26,"2022","pre","HH17","cut-leave",610154.72,3658456.49,NA,2.075,20.075,0,89.8148148148148
"HH-17-W",2022-06-14,"2022","pre","HH17","cut-leave",610154.72,3658456.49,NA,2.075,20.075,0,89.8148148148148
"HH-17-W",2023-05-24,"2023","pre","HH17","cut-leave",610154.72,3658456.49,NA,2.075,20.075,0,89.8148148148148
"HH-17-W",2023-06-07,"2023","pre","HH17","cut-leave",610154.72,3658456.49,NA,2.075,20.075,0,89.8148148148148
"HH-17-W",2023-06-13,"2023","pre","HH17","cut-leave",610154.72,3658456.49,NA,2.075,20.075,0,89.8148148148148
"HH-17-W",2024-05-27,"2024","post","HH17","cut-leave",610154.72,3658456.49,0.159999999999997,11.45,16.8,1,0.159999999999997
"HH-17-W",2024-05-30,"2024","post","HH17","cut-leave",610154.72,3658456.49,0.159999999999997,11.45,16.8,1,0.159999999999997
"HH-17-W",2024-06-12,"2024","post","HH17","cut-leave",610154.72,3658456.49,0.159999999999997,11.45,16.8,1,0.159999999999997
"HH-22-U",2023-05-20,"2023","pre","UP22A","upland",610552.7,3658161,NA,NA,NA,0,NA
"HH-22-U",2023-05-24,"2023","pre","UP22A","upland",610552.7,3658161,NA,NA,NA,0,NA
"HH-22-U",2023-06-13,"2023","pre","UP22A","upland",610552.7,3658161,NA,NA,NA,0,NA
"HH-22-U",2024-05-21,"2024","post","UP22A","upland",610552.7,3658161,8.47999999999999,14.9,15.175,1,8.47999999999999
"HH-22-U",2024-05-27,"2024","post","UP22A","upland",610552.7,3658161,8.47999999999999,14.9,15.175,1,8.47999999999999
"HH-22-U",2024-06-04,"2024","post","UP22A","upland",610552.7,3658161,8.47999999999999,14.9,15.175,1,8.47999999999999
"HH-22-W",2021-05-14,"2021","pre","HH22","hack-squirt",610406.39,3658329.59,NA,3.725,17,0,82.1048583514934
"HH-22-W",2021-05-17,"2021","pre","HH22","hack-squirt",610406.39,3658329.59,NA,3.725,17,0,82.1048583514934
"HH-22-W",2021-05-24,"2021","pre","HH22","hack-squirt",610406.39,3658329.59,NA,3.725,17,0,82.1048583514934
"HH-22-W",2022-05-17,"2022","pre","HH22","hack-squirt",610406.39,3658329.59,NA,3.725,17,0,82.1048583514934
"HH-22-W",2022-05-26,"2022","pre","HH22","hack-squirt",610406.39,3658329.59,NA,3.725,17,0,82.1048583514934
"HH-22-W",2022-06-14,"2022","pre","HH22","hack-squirt",610406.39,3658329.59,NA,3.725,17,0,82.1048583514934
"HH-22-W",2023-05-20,"2023","pre","HH22","hack-squirt",610406.39,3658329.59,NA,3.725,17,0,82.1048583514934
"HH-22-W",2023-05-24,"2023","pre","HH22","hack-squirt",610406.39,3658329.59,NA,3.725,17,0,82.1048583514934
"HH-22-W",2023-06-13,"2023","pre","HH22","hack-squirt",610406.39,3658329.59,NA,3.725,17,0,82.1048583514934
"HH-22-W",2024-05-22,"2024","post","HH22","hack-squirt",610406.39,3658329.59,95.84,1.9125,2,1,95.84
"HH-22-W",2024-06-03,"2024","post","HH22","hack-squirt",610406.39,3658329.59,95.84,1.9125,2,1,95.84
"HH-22-W",2024-06-13,"2024","post","HH22","hack-squirt",610406.39,3658329.59,95.84,1.9125,2,1,95.84
"HH-32-U",2024-05-27,"2024","post","UP32","upland",609964.2,3657446,4.31999999999999,13.4,12.05,1,4.31999999999999
"HH-32-U",2024-05-30,"2024","post","UP32","upland",609964.2,3657446,4.31999999999999,13.4,12.05,1,4.31999999999999
"HH-32-U",2024-06-12,"2024","post","UP32","upland",609964.2,3657446,4.31999999999999,13.4,12.05,1,4.31999999999999
"HH-32-W",2023-05-30,"2023","pre","HH32","control-closed",610015.3,3657509,NA,NA,NA,0,NA
"HH-32-W",2023-06-05,"2023","pre","HH32","control-closed",610015.3,3657509,NA,NA,NA,0,NA
"HH-32-W",2023-06-07,"2023","pre","HH32","control-closed",610015.3,3657509,NA,NA,NA,0,NA
